"id","labren_id","lon","lat","name","state","annual_irradiation","created_at","updated_at"
1,30670,-687463,-110109,Brasiléia,ACRE,4675,,
2,30670,-687442,-110293,Epitaciolândia,ACRE,4675,,
3,30970,-695658,-109394,Assis Brasil,ACRE,4669,,
4,31603,-684973,-10652,Xapuri,ACRE,4662,,
5,31929,-676768,-105749,Capixaba,ACRE,4592,,
6,32906,-67186,-103257,Plácido de Castro,ACRE,4574,,
7,33560,-677367,-101501,Senador Guiomard,ACRE,4605,,
8,33567,-670531,-100755,Acrelândia,ACRE,4563,,
9,33902,-678253,-99758,Rio Branco,ACRE,4605,,
10,34602,-679523,-9834,Bujari,ACRE,4612,,
11,35335,-675408,-95942,Porto Acre,ACRE,4592,,
12,36055,-704907,-94469,Santa Rosa do Purus,ACRE,4636,,
13,36796,-719482,-91969,Jordão,ACRE,4682,,
14,37207,-686718,-90639,Sena Madureira,ACRE,4577,,
15,37924,-728002,-89394,Marechal Thaumaturgo,ACRE,4743,,
16,38341,-692684,-88333,Manoel Urbano,ACRE,4592,,
17,40234,-727542,-82636,Porto Walter,ACRE,4763,,
18,40642,-707726,-81574,Tarauacá,ACRE,4633,,
19,40646,-703537,-81635,Feijó,ACRE,4586,,
20,42573,-726505,-77342,Rodrigues Alves,ACRE,4707,,
21,42962,-729002,-7617,Mâncio Lima,ACRE,4728,,
22,42965,-726761,-7628,Cruzeiro do Sul,ACRE,4689,,
23,32868,-364343,-104064,Piaçabuçu,ALAGOAS,5449,,
24,33196,-365822,-102879,Penedo,ALAGOAS,5345,,
25,33198,-363031,-102939,Feliz Deserto,ALAGOAS,5443,,
26,33523,-368379,-101853,Porto Real do Colégio,ALAGOAS,5438,,
27,33854,-369019,-101215,São Brás,ALAGOAS,5406,,
28,33855,-368133,-100571,Olho d'Água Grande,ALAGOAS,5330,,
29,33857,-366571,-101284,Igreja Nova,ALAGOAS,5270,,
30,33862,-36172,-101281,Coruripe,ALAGOAS,5470,,
31,34198,-370025,-99628,Traipu,ALAGOAS,5469,,
32,34201,-367929,-99559,Campo Grande,ALAGOAS,5255,,
33,34208,-360145,-100137,Jequiá da Praia,ALAGOAS,5460,,
34,34550,-368319,-98845,Girau do Ponciano,ALAGOAS,5294,,
35,34552,-36679,-98986,Feira Grande,ALAGOAS,5248,,
36,34553,-365501,-99319,São Sebastião,ALAGOAS,5260,,
37,34554,-364806,-99074,Junqueiro,ALAGOAS,5237,,
38,34555,-36358,-99094,Teotônio Vilela,ALAGOAS,5231,,
39,34909,-372773,-98232,Belo Monte,ALAGOAS,5378,,
40,34914,-367401,-98294,Lagoa da Canoa,ALAGOAS,5315,,
41,34915,-366618,-97553,Arapiraca,ALAGOAS,5288,,
42,34918,-363528,-97849,Campo Alegre,ALAGOAS,5237,,
43,34921,-360974,-97834,São Miguel dos Campos,ALAGOAS,5317,,
44,34922,-35906,-98389,Barra de São Miguel,ALAGOAS,5400,,
45,34922,-359785,-98355,Roteiro,ALAGOAS,5400,,
46,35270,-374407,-97415,Pão de Açúcar,ALAGOAS,5450,,
47,35271,-373386,-96725,Palestina,ALAGOAS,5342,,
48,35273,-371279,-96735,Batalha,ALAGOAS,5309,,
49,35274,-370017,-96593,Jaramataia,ALAGOAS,5268,,
50,35279,-365034,-97407,Limoeiro de Anadia,ALAGOAS,5289,,
51,35281,-363081,-96853,Anadia,ALAGOAS,5232,,
52,35286,-35897,-97101,Marechal Deodoro,ALAGOAS,5455,,
53,35287,-357018,-96607,Maceió,ALAGOAS,5530,,
54,35633,-377598,-96089,Piranhas,ALAGOAS,5470,,
55,35637,-373834,-95581,São José da Tapera,ALAGOAS,5404,,
56,35638,-372079,-96359,Jacaré dos Homens,ALAGOAS,5358,,
57,35638,-372508,-9604,Monteirópolis,ALAGOAS,5358,,
58,35643,-3677,-96182,Craíbas,ALAGOAS,5385,,
59,35645,-365848,-96339,Coité do Nóia,ALAGOAS,5333,,
60,35646,-364907,-95709,Belém,ALAGOAS,5241,,
61,35646,-364931,-96457,Taquarana,ALAGOAS,5241,,
62,35647,-363048,-9584,Maribondo,ALAGOAS,5228,,
63,35648,-362128,-96435,Boca da Mata,ALAGOAS,5143,,
64,35651,-359546,-96018,Pilar,ALAGOAS,5308,,
65,35652,-35823,-95695,Satuba,ALAGOAS,5360,,
66,35652,-358235,-96041,Santa Luzia do Norte,ALAGOAS,5360,,
67,35652,-357997,-96376,Coqueiro Seco,ALAGOAS,5360,,
68,36003,-37827,-95037,Olho d'Água do Casado,ALAGOAS,5482,,
69,36007,-374579,-94703,Senador Rui Palmeira,ALAGOAS,5420,,
70,36008,-373759,-94837,Carneiros,ALAGOAS,5431,,
71,36009,-372958,-95335,Olho d'Água das Flores,ALAGOAS,5410,,
72,36010,-371912,-95181,Olivença,ALAGOAS,5378,,
73,36012,-369869,-95339,Major Isidoro,ALAGOAS,5356,,
74,36015,-366375,-95381,Igaci,ALAGOAS,5359,,
75,36017,-364334,-95348,Tanque d'Arca,ALAGOAS,5279,,
76,36019,-362921,-94743,Pindoba,ALAGOAS,5140,,
77,36021,-360088,-95123,Atalaia,ALAGOAS,5212,,
78,36023,-358397,-94783,Rio Largo,ALAGOAS,5242,,
79,36026,-355523,-94636,Paripueira,ALAGOAS,5552,,
80,36380,-37999,-93858,Delmiro Gouveia,ALAGOAS,5461,,
81,36387,-372483,-93704,Santana do Ipanema,ALAGOAS,5456,,
82,36389,-370896,-93874,Dois Riachos,ALAGOAS,5409,,
83,36390,-369914,-94016,Cacimbinhas,ALAGOAS,5376,,
84,36392,-3676,-9389,Estrela de Alagoas,ALAGOAS,5443,,
85,36393,-366324,-94113,Palmeira dos Índios,ALAGOAS,5378,,
86,36396,-363884,-94478,Mar Vermelho,ALAGOAS,5227,,
87,36396,-363759,-93705,Paulo Jacinto,ALAGOAS,5227,,
88,36397,-362423,-93719,Viçosa,ALAGOAS,5188,,
89,36398,-361562,-93998,Cajueiro,ALAGOAS,5107,,
90,36399,-360829,-94155,Capela,ALAGOAS,5151,,
91,36401,-358395,-93943,Messias,ALAGOAS,5217,,
92,36404,-355104,-94027,Barra de Santo Antônio,ALAGOAS,5436,,
93,36757,-379991,-92568,Pariconha,ALAGOAS,5520,,
94,36758,-379383,-92624,Água Branca,ALAGOAS,5465,,
95,36765,-372848,-93049,Poço das Trincheiras,ALAGOAS,5449,,
96,36769,-36866,-93078,Minador do Negrão,ALAGOAS,5399,,
97,36773,-364695,-93204,Quebrangulo,ALAGOAS,5263,,
98,36775,-362986,-9256,Chã Preta,ALAGOAS,5168,,
99,36778,-359431,-93073,Murici,ALAGOAS,5183,,
100,36780,-357142,-92732,Flexeiras,ALAGOAS,5111,,
101,36782,-355608,-93186,São Luís do Quitunde,ALAGOAS,5332,,
102,36784,-353765,-92654,São Miguel dos Milagres,ALAGOAS,5592,,
103,37138,-377512,-92264,Inhapi,ALAGOAS,5516,,
104,37142,-373559,-91593,Ouro Branco,ALAGOAS,5481,,
105,37142,-373527,-92309,Maravilha,ALAGOAS,5481,,
106,37153,-362209,-91705,Santana do Mundaú,ALAGOAS,5122,,
107,37155,-360226,-91596,União dos Palmares,ALAGOAS,5166,,
